Age,Number,Percent
All ages,"318,868",100
Under 5 years,"19,923",6.2
5 to 9 years,"20,469",6.4
10 to 14 years,"20,573",6.5
15 to 19 years,"20,915",6.6
20 to 24 years,"21,973",6.9
25 to 29 years,"22,434",7
30 to 34 years,"21,329",6.7
35 to 39 years,"20,387",6.4
40 to 44 years,"19,618",6.2
45 to 49 years,"20,679",6.5
50 to 54 years,"21,887",6.9
55 to 59 years,"21,835",6.8
60 to 64 years,"19,300",6.1
65 to 69 years,"16,517",5.2
70 to 74 years,"11,425",3.6
75 to 79 years,"8,421",2.6
80 to 84 years,"5,637",1.8
85 years and over,"5,547",1.7
65 years and over,"47,547",14.9
